CASEID,age,sex,education,weekly_working_hours,salary
2129,16-19,Female,Less than high school graduation,10,9000
2129,16-19,Male,Less than high school graduation,40,6500
2129,40-49,Male,Graduated high school or partial postsecondary education,40,0
2131,60-69,Male,University degree or certificate,32,55000
2132,30-39,Female,Non-university postsecondary certificate or diploma,40,50000
2132,40-49,Male,Non-university postsecondary certificate or diploma,44,49000
2133,60-69,Male,Non-university postsecondary certificate or diploma,36,31000
2134,50-59,Female,Non-university postsecondary certificate or diploma,32,0
2134,50-59,Male,Graduated high school or partial postsecondary education,50,75000
2135,20-29,Female,Non-university postsecondary certificate or diploma,40,20000
2135,20-29,Male,Non-university postsecondary certificate or diploma,40,5750
2136,60-69,Female,Less than high school graduation,23,16000
2137,50-59,Female,Non-university postsecondary certificate or diploma,30,55000
2138,50-59,Female,Graduated high school or partial postsecondary education,37.5,52500
2138,20-29,Male,Graduated high school or partial postsecondary education,24,15000
2139,40-49,Female,University degree or certificate,37.2,35000
2139,40-49,Male,University degree or certificate,37.2,8750
2142,40-49,Male,Non-university postsecondary certificate or diploma,40,19000
2142,40-49,Female,University degree or certificate,70,0
2143,50-59,Female,Graduated high school or partial postsecondary education,40,27000
2143,50-59,Male,Graduated high school or partial postsecondary education,40,38000
2143,50-59,Female,Graduated high school or partial postsecondary education,40,32000
2144,60-69,Female,Less than high school graduation,40,39000
2144,60-69,Male,Non-university postsecondary certificate or diploma,40,35000
2144,20-29,Male,Graduated high school or partial postsecondary education,40,31000
2145,50-59,Female,Less than high school graduation,50,0
2146,30-39,Male,Non-university postsecondary certificate or diploma,33,62500
2147,60-69,Male,Graduated high school or partial postsecondary education,20,0
2148,30-39,Female,University degree or certificate,32,12000
2149,50-59,Male,Non-university postsecondary certificate or diploma,40,37000
2152,40-49,Female,Non-university postsecondary certificate or diploma,20,16000
2152,50-59,Male,Graduated high school or partial postsecondary education,40,38000
2153,40-49,Female,University degree or certificate,40,33000
2153,30-39,Male,Non-university postsecondary certificate or diploma,40,30000
2154,70+,Female,University degree or certificate,20,0
2154,70+,Male,University degree or certificate,20,0
2156,50-59,Female,Graduated high school or partial postsecondary education,40,50000
2156,20-29,Male,Graduated high school or partial postsecondary education,36,52500
2157,50-59,Female,Non-university postsecondary certificate or diploma,30,20000
2159,60-69,Male,Less than high school graduation,21,11000
2159,20-29,Male,Non-university postsecondary certificate or diploma,40,22000
2160,20-29,Male,Non-university postsecondary certificate or diploma,50,72500
2160,20-29,Female,Graduated high school or partial postsecondary education,30,19000
2163,50-59,Female,Graduated high school or partial postsecondary education,50,0
2163,50-59,Male,Graduated high school or partial postsecondary education,20,24000
2163,16-19,Female,Graduated high school or partial postsecondary education,15,3900
2164,50-59,Female,University degree or certificate,70,20000
2164,50-59,Male,University degree or certificate,70,22000
2165,40-49,Female,Non-university postsecondary certificate or diploma,37.5,70000
2165,50-59,Male,Graduated high school or partial postsecondary education,40,100000
2165,16-19,Female,Graduated high school or partial postsecondary education,20,1900
2167,30-39,Female,Less than high school graduation,35,37000
2167,50-59,Male,Graduated high school or partial postsecondary education,12,12000
2169,50-59,Female,Non-university postsecondary certificate or diploma,37.5,41000
2169,60-69,Male,Less than high school graduation,20,3600
2170,30-39,Male,Graduated high school or partial postsecondary education,55,47000
2170,30-39,Female,Graduated high school or partial postsecondary education,10,46000
2171,30-39,Female,Non-university postsecondary certificate or diploma,50,375
2171,50-59,Male,University degree or certificate,40,110000
2172,60-69,Female,Graduated high school or partial postsecondary education,30,20000
2173,50-59,Female,Graduated high school or partial postsecondary education,20,17000
2173,30-39,Male,Non-university postsecondary certificate or diploma,40,67500
2174,30-39,Male,Non-university postsecondary certificate or diploma,44,80000
2174,30-39,Female,University degree or certificate,9,5000
2175,30-39,Male,Non-university postsecondary certificate or diploma,37.5,52500
2176,30-39,Male,University degree or certificate,40,135000
2177,30-39,Male,Non-university postsecondary certificate or diploma,40,60000
2177,20-29,Female,Non-university postsecondary certificate or diploma,36,50000
2178,50-59,Female,Non-university postsecondary certificate or diploma,40,120000
2178,16-19,Male,Less than high school graduation,20,750
2178,40-49,Male,Non-university postsecondary certificate or diploma,40,115000
2179,50-59,Male,University degree or certificate,35,12000
2179,50-59,Female,University degree or certificate,70,97500
2179,20-29,Female,University degree or certificate,35,6250
2179,20-29,Male,Non-university postsecondary certificate or diploma,16,18000
2180,20-29,Male,Graduated high school or partial postsecondary education,42,82500
2180,20-29,Female,University degree or certificate,40,47000
2181,40-49,Female,University degree or certificate,30,0
2181,40-49,Male,University degree or certificate,41.5,2300
2181,16-19,Female,Less than high school graduation,16,9500
2182,16-19,Female,Less than high school graduation,25,12500
2183,30-39,Female,Non-university postsecondary certificate or diploma,40,70000
2185,20-29,Male,Graduated high school or partial postsecondary education,45,26000
2185,20-29,Female,Non-university postsecondary certificate or diploma,37,29000
2185,20-29,Male,Less than high school graduation,20,4000
2186,60-69,Male,Less than high school graduation,20,16000
2186,60-69,Female,Graduated high school or partial postsecondary education,20,11000
2186,30-39,Male,Graduated high school or partial postsecondary education,45,47000
2187,40-49,Male,University degree or certificate,37.5,87500
2187,40-49,Female,University degree or certificate,60,87500
2188,50-59,Male,University degree or certificate,30,72500
2188,50-59,Female,Graduated high school or partial postsecondary education,40,38000
2190,50-59,Male,Graduated high school or partial postsecondary education,40,52500
2190,50-59,Female,Graduated high school or partial postsecondary education,36,65000
